               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.021503,            0.010021,                   0,              0.9187,             0.91597,              0.9471,             0.63502,            0.026606,           0.0080188,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021166,            0.010155,                   0,             0.94613,             0.89916,             0.95276,             0.65293,            0.024544,            0.007675,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021354,           0.0097942,                   0,             0.95246,             0.88655,             0.93815,             0.65303,            0.025212,           0.0078935,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021239,            0.010028,                   0,             0.93435,             0.89496,             0.95246,             0.65262,            0.025626,           0.0078213,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020887,           0.0096473,                   0,             0.94192,             0.88577,              0.9477,             0.64981,            0.025064,            0.007843,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020696,            0.010014,                   0,             0.93328,             0.90756,             0.95572,             0.64691,            0.025887,           0.0078937,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021001,            0.010114,                   0,             0.92162,             0.91597,             0.94771,             0.63809,              0.0264,           0.0078743,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020569,           0.0095921,                   0,             0.92015,             0.91992,             0.95274,             0.63612,             0.02565,           0.0077904,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020372,           0.0097893,                   0,             0.95503,             0.92437,             0.96134,             0.65108,            0.025241,           0.0075608,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020758,            0.010081,                   0,              0.9305,             0.90756,             0.94996,             0.64508,            0.026393,           0.0078173,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020476,           0.0099172,                   0,             0.93941,             0.93697,             0.95547,             0.64779,            0.025608,           0.0075856,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.01968,           0.0091939,                   0,              0.9473,             0.92017,             0.96023,             0.64336,             0.02568,           0.0077739,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.01997,            0.009518,                   0,             0.91972,              0.9146,             0.94658,              0.6431,            0.025743,           0.0077677,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.019812,           0.0093309,                   0,             0.93931,             0.91046,             0.95886,             0.63577,            0.026166,           0.0080247,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019891,           0.0096262,                   0,             0.94239,             0.89354,             0.93508,             0.64154,               0.026,           0.0079646,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.019674,           0.0094548,                   0,             0.93458,             0.92017,             0.94973,             0.65004,            0.024855,           0.0078289,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019611,            0.009365,                   0,             0.93517,             0.90908,             0.95029,             0.64252,            0.026086,           0.0077996,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019248,           0.0091507,                   0,             0.94285,             0.90115,             0.94834,             0.65815,            0.025175,           0.0078699,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019648,           0.0092999,                   0,             0.93524,             0.91023,             0.95133,             0.65194,            0.026148,           0.0079588,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018999,            0.009012,                   0,             0.93668,             0.90756,              0.9477,             0.65009,            0.025844,           0.0079141,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019091,            0.008961,                   0,              0.9253,             0.90756,             0.94336,             0.65327,            0.025633,           0.0079037,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018582,           0.0088659,                   0,             0.93926,             0.90957,             0.94798,             0.66187,            0.024669,            0.007881,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018856,           0.0092124,                   0,             0.94292,             0.90756,             0.95391,              0.6589,            0.024848,           0.0078534,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.01867,           0.0092927,                   0,             0.93402,             0.91597,             0.95314,             0.65202,            0.025675,           0.0080564,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018082,           0.0087831,                   0,             0.94115,             0.91176,             0.95009,             0.65515,            0.025369,           0.0079238,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.018228,           0.0089071,                   0,              0.9308,             0.90336,             0.94362,              0.6543,            0.025382,           0.0081661,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017871,           0.0086041,                   0,             0.91295,             0.92543,             0.94817,             0.65571,            0.025526,           0.0080779,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017745,           0.0086879,                   0,             0.94106,             0.90336,             0.95725,              0.6606,            0.025681,           0.0081355,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018102,           0.0088145,                   0,             0.94298,             0.90336,             0.94931,             0.65862,            0.025763,           0.0080642,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018098,            0.008708,                   0,             0.92652,             0.91176,             0.94733,              0.6612,            0.025309,           0.0079131,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017525,           0.0087882,                   0,             0.93346,             0.91597,             0.94828,             0.66213,            0.025376,           0.0078413,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.017609,           0.0089334,                   0,             0.93988,             0.91958,             0.95219,             0.65952,            0.025663,           0.0079002,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017374,           0.0087433,                   0,             0.93482,             0.92017,             0.95355,             0.65848,            0.025565,           0.0079271,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016993,           0.0086535,                   0,             0.93616,             0.92427,             0.94996,             0.66158,            0.025592,            0.007935,                   0,            0.000298,            0.000298,            0.000298
